alpha,method,dataset,stream_size,mean,std
1.0,HourglassSketch,Lkml,80000,3.225143157868357,2.656749432736795
1.0,HourglassSketch,Lkml,200000,4.558047770509512,1.2903713740414715
1.0,HourglassSketch,Lkml,400000,2.17956900518114,0.0612279414631431
1.0,HourglassSketch,Lkml,800000,5.031310388285424,0.1000656990039564
1.0,HourglassSketch,CAIDA2018,2000000,42.6882726,9.13283712282582
1.0,HourglassSketch,CAIDA2018,8000000,13.500107775,0.2392582337291185
1.0,HourglassSketch,CAIDA2018,16000000,39.0848160875,0.4661056893326536
1.0,HourglassSketch,CAIDA2018,27100000,86.88996065993324,0.7870362422736699
1.0,HourglassSketch,WiKiTalk,2000000,50.6452302,0.3211643579623371
1.0,HourglassSketch,WiKiTalk,8000000,398.503664375,2.1625401832402256
1.0,HourglassSketch,WiKiTalk,16000000,1252.081482075,6.500392730958132
1.0,HourglassSketch,WiKiTalk,25000000,2280.0637886875,12.14469029749593
1.0,HourglassSketch,StackOverflow,2000000,85.5316305,0.1448565735767619
1.0,HourglassSketch,StackOverflow,8000000,685.2363976500001,0.9518756127723572
1.0,HourglassSketch,StackOverflow,16000000,1911.322021025,1.4101571344682935
1.0,HourglassSketch,StackOverflow,63500000,5268.774619790998,3.1545099500681006
1.0,Mayfly,Lkml,20000,10.3022875242681,5.210175856497482
1.0,Mayfly,Lkml,40000,12.443227815034694,6.463789547365366
1.0,Mayfly,Lkml,80000,22.67922999671215,13.270486315040976
1.0,Mayfly,Lkml,200000,23.24537035223221,13.388606349024544
1.0,Mayfly,Lkml,400000,33.435334079923756,19.948582480478176
1.0,Mayfly,Lkml,800000,56.77009799792162,35.146603273296826
1.0,Mayfly,CAIDA2018,2000000,12.570436328838325,6.006446162017801
1.0,Mayfly,CAIDA2018,8000000,22.314300693594948,8.581480209225623
1.0,Mayfly,CAIDA2018,16000000,30.70581313743747,10.249434287537392
1.0,Mayfly,CAIDA2018,27100000,39.65565410477289,10.52169242801536
1.0,Mayfly,WiKiTalk,2000000,131.59942386682323,76.24577498389414
1.0,Mayfly,WiKiTalk,8000000,241.91281744285484,133.5767684123419
1.0,Mayfly,WiKiTalk,16000000,367.259347046545,176.74729273499534
